Lon,Lat,Bias,Weighted Average
-118.9872700000000,33.97456400000000,-0.4677510300000000,10.48054050272535
-118.9886700000000,33.96941600000000,-0.4765067100000000,10.47238503163394
-118.9924000000000,33.95568800000000,-0.4442133900000000,10.47749759960196
-118.9984700000000,33.93337900000000,-0.4323291800000000,10.42665961417069
-119.0045400000000,33.91107100000000,-0.4439692500000000,10.39730654859252
-119.0103700000000,33.88962400000000,-0.4122920000000000,10.32731478673668
-119.0164400000000,33.86731200000000,-0.4103784600000000,10.27599728130618
-119.0225000000000,33.84500400000000,-0.4172115300000000,10.22297165326101
-119.0285600000000,33.82269200000000,-0.3752565400000000,10.18183719161136
-119.0346100000000,33.80038300000000,-0.3845691700000000,10.11459788409355
-119.0404300000000,33.77893000000000,-0.3812756500000000,10.08804595493190
-119.0464800000000,33.75661900000000,-0.3710284200000000,10.01235939884978
-119.0525200000000,33.73430600000000,-0.3500447300000000,9.999078091747235
-119.0585600000000,33.71199400000000,-0.3785214400000000,9.993800615596486
-119.0643700000000,33.69054000000000,-0.3663778300000000,9.883497457580630
-119.0704000000000,33.66823000000000,-0.3701238600000000,9.865268819266079
-119.0764400000000,33.64591800000000,-0.3472619100000000,9.744847972161722
-119.0824700000000,33.62361000000000,-0.3710546500000000,9.660169961998843
-119.0885100000000,33.60130100000000,-0.3794527100000000,9.528945834153388
-119.0943100000000,33.57985200000000,-0.3425622000000000,9.481981927957362
-119.1003500000000,33.55754600000000,-0.3467874500000000,9.379090197783603
-119.1063800000000,33.53523800000000,-0.3453927000000000,9.328654571415552
-119.1124100000000,33.51293300000000,-0.3383545900000000,9.284745346332606
-119.1184300000000,33.49062000000000,-0.3416266400000000,9.221909361029940
-119.1242200000000,33.46916800000000,-0.3322954200000000,9.239644085687237
-119.1302400000000,33.44685800000000,-0.3281202300000000,9.203800889704999
-119.1362500000000,33.42454600000000,-0.3379068400000000,9.199829073093932
-119.1422600000000,33.40223500000000,-0.3295259500000000,9.168545044740130
-119.1480500000000,33.38078300000000,-0.3509979200000000,9.163883114584147
-119.1540600000000,33.35846800000000,-0.3491244300000000,9.113516216619747
-119.1575300000000,33.34559500000000,-0.3472619100000000,9.053993224838758
-119.1605400000000,33.33444200000000,-0.3612537400000000,9.047246320635029
-119.1660900000000,33.31384800000000,-0.3449325600000000,8.980651273639406
-119.1721000000000,33.29153700000000,-0.3192591700000000,8.896101511123421
-119.1778700000000,33.27008400000000,-0.3150630000000000,8.822855739993818
-119.1838700000000,33.24777100000000,-0.3136496500000000,8.804323284995547
-119.1898700000000,33.22545800000000,-0.3253321600000000,8.742555919742124
-119.1940200000000,33.21001000000000,-0.3033785800000000,8.683812122097560
